id,title,summary,url,source,published,image_url
2026-09-09-the-whiskey-wash-dalmore-distillery-select-2026-2012-semisecco-marsala-cask-f,Dalmore Distillery Select 2026 2012 Semisecco Marsala Cask Finish,What happens when Dalmore sidesteps its signature sherry casks for Sicilian Marsala wine? This rare 14-year-old single malt delivers a surprising twist. Read the full article at Dalmore Distillery Select 2026 2012 Semisecco Marsala Cask...,https://thewhiskeywash.com/whiskey-reviews/review-dalmore-distillery-select-2026-2012-semisecco-marsala-cask-finish-2026/,The Whiskey Wash,2026-09-09,
2026-09-08-whisky-advocate-single-malts-kiwi-style,"Single Malts, Kiwi-Style","Cardrona, Pōkeno, and Scapegrace, among other whisky distilleries are putting their single malts on the world stage. Creativity and innovation are their driving force.",https://whiskyadvocate.com/new-zealand-whisky-distilleries,Whisky Advocate,2026-09-08,
2026-09-08-whisky-advocate-spas-for-whisky-lovers,Spas For Whisky Lovers,"These spas add whisky to the experience in unique and creative ways. Bourbon scrubs, complimentary pours, and more add a special touch to some rest and relaxation.",https://whiskyadvocate.com/Spas-For-Whisky-Lovers,Whisky Advocate,2026-09-08,
2026-09-04-whisky-advocate-whisky-watch-four-roses-limited-edition-small-batch-baker-s-,"Whisky Watch: Four Roses Limited Edition Small Batch, Baker's 13, Ardbeg 15, & More","Trudernish is Ardbeg's newest core release, Four Roses' Limited Edition Small Batch, Baker's 13, Basil Hayden Cognac Cask, Glendronach Boynsmill House, and more new whiskey.",https://whiskyadvocate.com/four-roses-bakers-13-ardbeg-trudernish-and-more-new-whisky,Whisky Advocate,2026-09-04,
2026-09-04-whisky-advocate-news-notes-uk-shutters-cask-investment-firm-community-owned-,"News Notes: UK Shutters Cask Investment Firm, Community-Owned Scotch Distillery Seeks Funding","In this week's whisky news, GlenWyvis needs significant funding to remain operational, and the UK government has forced Cask Spirits Global to cease operations.",https://whiskyadvocate.com/whisky-news-roundup-september-4-2026,Whisky Advocate,2026-09-04,
2026-09-03-whisky-advocate-the-ultimate-guide-to-grilling-with-whisky,The Ultimate Guide to Grilling with Whisky,"Fire up the grill and whip up these recipes, from a cocktail to dessert, where whisky is the star of the show.",https://whiskyadvocate.com/grilling-with-whisky-recipes,Whisky Advocate,2026-09-03,
2026-09-02-whisky-advocate-whisky-of-the-week-deanston-17-year-old-orange-wine-cask,Whisky of the Week: Deanston 17 year old Orange Wine Cask,"This new scotch single malt from Deanston was aged 15 years in bourbon barrels, then transferred to vino de naranja casks for 2 years. Read our review.",https://whiskyadvocate.com/deanston-17-orange-wine-cask-fnish-review,Whisky Advocate,2026-09-02,
2026-08-28-vinepair-booze-news-weekly-roundup-family-feud-at-brown-forman-sazera,"Booze News Weekly Roundup: Family Feud at Brown-Forman, Sazerac Acquires New Kentucky Distillery, and More","This is VinePair’s Booze News Weekly Roundup, where we gather the hottest headlines and product releases every Friday for a snapshot of what’s happening in the beverage alcohol industry. This week, we have updates on the Brown-Forman...",https://vinepair.com/booze-news/booze-news-weekly-roundup-brown-forman-family-infighting/,VinePair,2026-08-28,
2026-08-25-vinepair-two-years-after-american-single-malt-s-ratification-the-cate,"Two Years After American Single Malt’s Ratification, the Category Is Still Finding Its Way","It’s been nearly two years since the Alcohol and Tobacco Tax and Trade Bureau (TTB) ratified a standard of identity for American single malt. The milestone was hailed as a victory by distillers across the country, many of whom had been...",https://vinepair.com/articles/distillers-form-american-single-malt-identity/,VinePair,2026-08-25,
2026-08-25-vinepair-the-vinepair-podcast-where-s-the-market-for-weird-spirits,The VinePair Podcast: Where’s the Market for Weird Spirits?,"Today on the “VinePair Podcast,” VinePair spirits editor Aaron Goldfarb joins Joanna and Zach to discuss the rise of so-called ”weird” spirits, particularly unusual or unexpected flavors gin, vodka, and whiskey. Who is the target market...",https://vinepair.com/articles/the-vinepair-podcast-wheres-the-market-for-weird-spirits/,VinePair,2026-08-25,
